340321e436698064a1acff0d0f2b0329	15. Lower Extremity Chronic Arterial Disease
340321e436698065ab37e7f9fca918c7	8. Techniques
340321e436698074b69cfdeb4f990afa	1. Basic Science
354321e43669800587fad4092507cd29	20. Mesenteric Vascular Disease
354321e43669806b89f8fbddd2d7ce4c	6. Bleeding and Clotting
35b321e4366980179ecfe96767ff60ac	18. Thoracic Outlet Syndrome
370321e436698018adb8da69c41b944f	26. Vascular Malformations
370321e43669803faf2ad82654e6f4f4	12. Peripheral and Splanchnic Aneurysms
386321e43669806cab91c94b838a8e42	13. Cerebrovascular Diseases
3be321e436698168ad5ccdf441040269	10. Abdominal Aortic and Iliac Aneurysms
3be321e43669812c9337c1ca360911f3	11. Thoracic and Thoracoabdominal Aortic Aneurysms and Dissections
3be321e4366981ba9acce3672ca9d411	30. Miscellaneous Conditions
3be321e43669812db326db5771f62eb6	17. Upper Extremity Arterial Disease
3be321e43669813ebb66c08d35e23bbd	24. Miscellaneous Venous Conditions
3be321e4366981419ec5fb25b6cd6301	9. Grafts and Devices
3be321e436698143804af23a5fe23c0c	21. Non-atherosclerotic Arterial Disease
3be321e43669814daf36cb400d07d4e5	32. The Use of Technology Platforms and Social Media in Vascular Surgery
3be321e436698164b326cde55e288b10	28. Vascular Trauma
3be321e4366981668394c96ea9e2c66b	27. Haemodialysis Access
3be321e4366981669c33dfe42bc10d65	2. Atherosclerotic Risk Factors
3be321e43669817a848fe0d471701d65	25. Lymphoedema
3be321e43669817fa412c31851ce7b54	31. Business of Vascular Surgery
3be321e43669818fa43ee05ecda0bb44	5. Perioperative Care
3be321e4366981a98718cc4d8eef26d1	19. Renovascular Disease
3be321e4366981b1a8ddc5f1a7c6331d	3. Clinical and Vascular Lab Evaluation
3be321e4366981c89c5edfdb26494101	29. Special Issues in Paediatric Vascular Surgery
3be321e4366981c9a5f8f6964a1b9a25	4. Vascular Imaging
3be321e4366981d98ee6f598e06d05ed	16. The Diabetic Foot and its Management
3be321e4366981deb968cd12f231f393	14. Acute Limb Ischaemia
3be321e43669811fa6cfdabd3715224a	22. Acute Venous Thromboembolic Disease
3be321e43669812bbecef66b7a55b233	7. Complications
3be321e436698133a6bafbc1923b19b1	23. Chronic Venous Disorders
